Segment ID,Station ID,Station Description,Start Date,Start Time,Start Depth,Submitting Entity,Collecting Entity,Monitoring Type,Parameter Name,Parameter Code,Value,RFA/Tag ID,Station Latitude,Station Longitude,Comments
2306,13229,RIO GRANDE BELOW RIO CONCHOS ,3/28/07,10:00,0.3,INTERNATIONAL BOUNDARY & WATER COMMISSION,INTERNATIONAL BOUNDARY & WATER COMMISSION,Routine - Monitoring not intentionally targeted toward any environmental condition or event,CHLORIDE (MG/L AS CL),940,177,BP00197,29.51898,-104.28659,
2306,13228,RIO GRANDE AT SANTA ELENA CNYN,3/6/07,4:30,0.3,INTERNATIONAL BOUNDARY & WATER COMMISSION,BIG BEND NATIONAL PARK SERVICE,Routine - Monitoring not intentionally targeted toward any environmental condition or event,CHLORIDE (MG/L AS CL),940,644,B001625,29.166666,-103.554169,
2306,16730,RIO GRANDE VILLAGE BOAT RAMP,3/6/07,4:00,0.3,INTERNATIONAL BOUNDARY & WATER COMMISSION,BIG BEND NATIONAL PARK SERVICE,Routine - Monitoring not intentionally targeted toward any environmental condition or event,CHLORIDE (MG/L AS CL),940,459,B001626,29.179388,-102.96003,
2306,13229,RIO GRANDE BELOW RIO CONCHOS ,5/16/07,9:45,0.3,INTERNATIONAL BOUNDARY & WATER COMMISSION,INTERNATIONAL BOUNDARY & WATER COMMISSION,Routine - Monitoring not intentionally targeted toward any environmental condition or event,CHLORIDE (MG/L AS CL),940,350,BP00198,29.51898,-104.28659,Too muddy to count fecal
2306,16730,RIO GRANDE VILLAGE BOAT RAMP,4/24/07,10:00,0.3,INTERNATIONAL BOUNDARY & WATER COMMISSION,BIG BEND NATIONAL PARK SERVICE,Routine - Monitoring not intentionally targeted toward any environmental condition or event,CHLORIDE (MG/L AS CL),940,311,B001652,29.179388,-102.96003,
2306,13228,RIO GRANDE AT SANTA ELENA CNYN,4/23/07,5:00,0.3,INTERNATIONAL BOUNDARY & WATER COMMISSION,BIG BEND NATIONAL PARK SERVICE,Routine - Monitoring not intentionally targeted toward any environmental condition or event,CHLORIDE (MG/L AS CL),940,437,B001653,29.166666,-103.554169,
2306,16730,RIO GRANDE VILLAGE BOAT RAMP,5/30/07,10:00,0.3,INTERNATIONAL BOUNDARY & WATER COMMISSION,BIG BEND NATIONAL PARK SERVICE,Routine - Monitoring not intentionally targeted toward any environmental condition or event,CHLORIDE (MG/L AS CL),940,73.4,B001655,29.179388,-102.96003,
2306,13228,RIO GRANDE AT SANTA ELENA CNYN,5/29/07,4:30,0.3,INTERNATIONAL BOUNDARY & WATER COMMISSION,BIG BEND NATIONAL PARK SERVICE,Routine - Monitoring not intentionally targeted toward any environmental condition or event,CHLORIDE (MG/L AS CL),940,107,B001656,29.166666,-103.554169,
2306,13229,RIO GRANDE BELOW RIO CONCHOS ,9/25/06,1:00,1,TEXAS COMMISSION ON ENVIRONMENTAL QUALITY,TCEQ REGIONAL OFFICE,Routine - Monitoring not intentionally targeted toward any environmental condition or event,CHLORIDE (MG/L AS CL),940,64,1011985,29.51898,-104.28659,
2306,13225,RIO GRANDE AT FM 2627,9/26/06,7:30,1,TEXAS COMMISSION ON ENVIRONMENTAL QUALITY,TCEQ REGIONAL OFFICE,Routine - Monitoring not intentionally targeted toward any environmental condition or event,CHLORIDE (MG/L AS CL),940,55,1011983,29.447779,-102.825836,
2306,13228,RIO GRANDE AT SANTA ELENA CNYN,9/26/06,10:05,1,TEXAS COMMISSION ON ENVIRONMENTAL QUALITY,TCEQ REGIONAL OFFICE,Routine - Monitoring not intentionally targeted toward any environmental condition or event,CHLORIDE (MG/L AS CL),940,66,1011984,29.166666,-103.554169,
2306,13229,RIO GRANDE BELOW RIO CONCHOS ,12/5/06,12:45,0.3,TEXAS COMMISSION ON ENVIRONMENTAL QUALITY,TCEQ REGIONAL OFFICE,Routine - Monitoring not intentionally targeted toward any environmental condition or event,CHLORIDE (MG/L AS CL),940,441,1011749,29.51898,-104.28659,
2306,13228,RIO GRANDE AT SANTA ELENA CNYN,8/27/07,4:30,0.3,INTERNATIONAL BOUNDARY & WATER COMMISSION,BIG BEND NATIONAL PARK SERVICE,Routine - Monitoring not intentionally targeted toward any environmental condition or event,CHLORIDE (MG/L AS CL),940,174,B001699,29.166666,-103.554169,
2306,16730,RIO GRANDE VILLAGE BOAT RAMP,8/28/07,11:30,0.3,INTERNATIONAL BOUNDARY & WATER COMMISSION,BIG BEND NATIONAL PARK SERVICE,Routine - Monitoring not intentionally targeted toward any environmental condition or event,CHLORIDE (MG/L AS CL),940,142,B001700,29.179388,-102.96003,
2306,13229,RIO GRANDE BELOW RIO CONCHOS ,8/21/07,10:00,0.3,INTERNATIONAL BOUNDARY & WATER COMMISSION,INTERNATIONAL BOUNDARY & WATER COMMISSION,Routine - Monitoring not intentionally targeted toward any environmental condition or event,CHLORIDE (MG/L AS CL),940,130,BP00208,29.51898,-104.28659,
2306,13223,RIO GRANDE AT FOSTER RANCH,12/6/06,1:05,0.3,TEXAS COMMISSION ON ENVIRONMENTAL QUALITY,TCEQ REGIONAL OFFICE,Routine - Monitoring not intentionally targeted toward any environmental condition or event,CHLORIDE (MG/L AS CL),940,244,1011571,29.780131,-101.757582,
2306,13228,RIO GRANDE AT SANTA ELENA CNYN,7/11/07,10:00,0.3,INTERNATIONAL BOUNDARY & WATER COMMISSION,BIG BEND NATIONAL PARK SERVICE,Routine - Monitoring not intentionally targeted toward any environmental condition or event,CHLORIDE (MG/L AS CL),940,429,B001675,29.166666,-103.554169,Too deep swift to sample Tried 3 places
2306,13228,RIO GRANDE AT SANTA ELENA CNYN,12/6/06,3:05,1,TEXAS COMMISSION ON ENVIRONMENTAL QUALITY,TCEQ REGIONAL OFFICE,Routine - Monitoring not intentionally targeted toward any environmental condition or event,CHLORIDE (MG/L AS CL),940,442,1011585,29.166666,-103.554169,
2306,13225,RIO GRANDE AT FM 2627,12/6/06,9:20,1,TEXAS COMMISSION ON ENVIRONMENTAL QUALITY,TCEQ REGIONAL OFFICE,Routine - Monitoring not intentionally targeted toward any environmental condition or event,CHLORIDE (MG/L AS CL),940,365,1011588,29.447779,-102.825836,
